,"  <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6135662,41.8024886,0</coordinates></Point></Placemark>",,,
1,"700 N. Noble St. Chicago, IL",41.894448,-87.662628," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.662628,41.894448,0</coordinates></Point></Placemark>"
2,"4500 S. Champlain Ave. Chicago, IL",41.813031,-87.6099408," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6099408,41.813031,0</coordinates></Point></Placemark>"
3,"5800 S. Sacramento Ave. Chicago, IL",41.787997,-87.6988609," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6988609,41.787997,0</coordinates></Point></Placemark>"
4,"8700 S. Honore St. Chicago, IL",41.7356971,-87.6691584," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6691584,41.7356971,0</coordinates></Point></Placemark>"
5,"12400 S. Union Ave. Chicago, IL",41.668596,-87.639539," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.639539,41.668596,0</coordinates></Point></Placemark>"
6,"5600 S. Western Ave. Chicago, IL",41.7912909,-87.6840098," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6840098,41.7912909,0</coordinates></Point></Placemark>"
7,"1500 N. Talman Ave. Chicago, IL",41.9084358,-87.6932738," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6932738,41.9084358,0</coordinates></Point></Placemark>"
8,"5500 S. Loomis Blvd. Chicago, IL",41.7936957,-87.6597521," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.6597521,41.7936957,0</coordinates></Point></Placemark>"
9,"2200 S. Union Ave. Chicago, IL",41.851707,-87.64514," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.64514,41.851707,0</coordinates></Point></Placemark>"
10,"8400 S. King Dr. Chicago, IL",41.741809,-87.61514," <Placemark><styleUrl>#gunshot</styleUrl><Point><coordinates>-87.61514,41.741809,0</coordinates></Point></Placemark>"
