name,latitude,longitude,weight,type
1,41.96892,-87.9351,1904,trauma
2,41.97392,-87.9351,1940,trauma
3,41.97892,-87.9351,1978,trauma
4,41.98392,-87.9351,2007,trauma
5,41.98892,-87.9351,2022,trauma
6,41.99392,-87.9351,2189,trauma
7,41.99892,-87.9351,1988,trauma
8,42.00392,-87.9351,1978,trauma
9,41.96392,-87.9301,2077,trauma
10,41.96892,-87.9301,1902,trauma
11,41.97392,-87.9301,1940,trauma
12,41.97892,-87.9301,1978,trauma
13,41.98392,-87.9301,2298,trauma
14,41.98892,-87.9301,2269,trauma
15,41.99392,-87.9301,2162,trauma
16,41.99892,-87.9301,1984,trauma
17,42.00392,-87.9301,1929,trauma
18,41.95892,-87.9251,1962,trauma
19,41.96392,-87.9251,2077,trauma
20,41.96892,-87.9251,2077,trauma
21,41.97392,-87.9251,2077,trauma
22,41.97892,-87.9251,2291,trauma
23,41.98392,-87.9251,2291,trauma
24,41.98892,-87.9251,2251,trauma
25,41.99392,-87.9251,2249,trauma
26,41.99892,-87.9251,2029,trauma
27,42.00392,-87.9251,1971,trauma
28,41.95892,-87.9201,2018,trauma
29,41.96392,-87.9201,2059,trauma
30,41.96892,-87.9201,2107,trauma
31,41.97392,-87.9201,2108,trauma
32,41.97892,-87.9201,2280,trauma
33,41.98392,-87.9201,2280,trauma
34,41.98892,-87.9201,2280,trauma
35,41.99392,-87.9201,2302,trauma
36,41.99892,-87.9201,2071,trauma
37,42.00392,-87.9201,2008,trauma
38,41.95892,-87.9151,2057,trauma
39,41.96392,-87.9151,2117,trauma
40,41.96892,-87.9151,2117,trauma
41,41.97392,-87.9151,1781,trauma
42,41.97892,-87.9151,1785,trauma
43,41.98392,-87.9151,2259,trauma
44,41.98892,-87.9151,2238,trauma
45,41.99392,-87.9151,2201,trauma
46,41.99892,-87.9151,2112,trauma
47,42.00392,-87.9151,2050,trauma
48,41.95392,-87.9101,1916,trauma
49,41.95892,-87.9101,2095,trauma
50,41.96392,-87.9101,2154,trauma
51,41.96892,-87.9101,2154,trauma
52,41.97392,-87.9101,1779,trauma
53,41.97892,-87.9101,1790,trauma
54,41.98392,-87.9101,1790,trauma
55,41.98892,-87.9101,2210,trauma
56,41.99392,-87.9101,2173,trauma
57,41.99892,-87.9101,2137,trauma
58,42.00392,-87.9101,2086,trauma
59,41.95392,-87.9051,1969,trauma
60,41.95892,-87.9051,2151,trauma
61,41.96392,-87.9051,2163,trauma
62,41.96892,-87.9051,2163,trauma
63,41.97392,-87.9051,1757,trauma
64,41.97892,-87.9051,1778,trauma
65,41.98392,-87.9051,1801,trauma
66,41.98892,-87.9051,2203,trauma
67,41.99392,-87.9051,2170,trauma
68,41.99892,-87.9051,2123,trauma
69,42.00392,-87.9051,2123,trauma
70,41.95392,-87.9001,1990,trauma
71,41.95892,-87.9001,2057,trauma
72,41.96392,-87.9001,2096,trauma
73,41.96892,-87.9001,1752,trauma
74,41.97392,-87.9001,1746,trauma
75,41.97892,-87.9001,1753,trauma
76,41.98392,-87.9001,1832,trauma
77,41.98892,-87.9001,2330,trauma
78,41.99392,-87.9001,2330,trauma
79,41.99892,-87.9001,2227,trauma
80,42.00392,-87.9001,2161,trauma
81,41.95392,-87.8951,1897,trauma
82,41.95892,-87.8951,2044,trauma
83,41.96392,-87.8951,2045,trauma
84,41.96892,-87.8951,1646,trauma
85,41.97392,-87.8951,1664,trauma
86,41.97892,-87.8951,1703,trauma
87,41.98392,-87.8951,1865,trauma
88,41.98892,-87.8951,2330,trauma
89,41.99392,-87.8951,2320,trauma
90,41.99892,-87.8951,2250,trauma
91,42.00392,-87.8951,2200,trauma
92,41.95892,-87.8901,1839,trauma
93,41.96392,-87.8901,1792,trauma
94,41.96892,-87.8901,1628,trauma
95,41.97392,-87.8901,1646,trauma
96,41.97892,-87.8901,1977,trauma
97,41.98392,-87.8901,1751,trauma
98,41.98892,-87.8901,1764,trauma
99,41.99392,-87.8901,1852,trauma
100,41.99892,-87.8901,1676,trauma
101,41.95892,-87.8851,1805,trauma
102,41.96392,-87.8851,1771,trauma
103,41.96892,-87.8851,1783,trauma
104,41.97392,-87.8851,1609,trauma
105,41.97892,-87.8851,1667,trauma
106,41.98392,-87.8851,1700,trauma
107,41.98892,-87.8851,1859,trauma
108,41.99392,-87.8851,1860,trauma
109,41.97392,-87.8801,1686,trauma
110,41.97892,-87.8801,1546,trauma
111,41.98392,-87.8801,1710,trauma
112,41.98892,-87.8801,1849,trauma
113,41.99392,-87.8801,1720,trauma
114,41.97392,-87.8751,1659,trauma
115,41.97892,-87.8751,1693,trauma
116,41.97392,-87.8701,1673,trauma
117,41.97392,-87.8601,1548,trauma
118,41.94892,-87.8551,1458,trauma
119,41.95892,-87.8551,1663,trauma
120,41.96392,-87.8551,1693,trauma
121,41.97392,-87.8551,1619,trauma
122,41.97892,-87.8551,1595,trauma
123,41.98392,-87.8551,1455,trauma
124,41.93892,-87.8501,1366,trauma
125,41.94392,-87.8501,1411,trauma
126,41.94892,-87.8501,1558,trauma
127,41.95892,-87.8501,1671,trauma
128,41.96392,-87.8501,1624,trauma
129,41.96892,-87.8501,1626,trauma
130,41.97392,-87.8501,1561,trauma
131,41.97892,-87.8501,1591,trauma
132,41.98392,-87.8501,1865,trauma
133,41.93892,-87.8451,1460,trauma
134,41.94392,-87.8451,1463,trauma
135,41.94892,-87.8451,1578,trauma
136,41.95392,-87.8451,1610,trauma
137,41.95892,-87.8451,1600,trauma
138,41.96392,-87.8451,1666,trauma
139,41.97392,-87.8451,1584,trauma
140,41.97892,-87.8451,1559,trauma
141,41.98392,-87.8451,1399,trauma
142,41.93892,-87.8401,1437,trauma
143,41.94392,-87.8401,1416,trauma
144,41.94892,-87.8401,1454,trauma
145,41.95392,-87.8401,1633,trauma
146,41.95892,-87.8401,1710,trauma
147,41.96392,-87.8401,1645,trauma
148,41.97892,-87.8401,1492,trauma
149,41.98392,-87.8401,1458,trauma
150,41.93892,-87.8351,1418,trauma
151,41.94392,-87.8351,1470,trauma
152,41.94892,-87.8351,1527,trauma
153,41.95392,-87.8351,1560,trauma
154,41.95892,-87.8351,1640,trauma
155,41.97892,-87.8351,1453,trauma
156,41.98392,-87.8351,1391,trauma
157,41.93892,-87.8301,1453,trauma
158,41.94392,-87.8301,1490,trauma
159,41.94892,-87.8301,1583,trauma
160,41.97392,-87.8301,1460,trauma
161,41.97892,-87.8301,1472,trauma
162,41.98392,-87.8301,1397,trauma
163,41.93892,-87.8251,1517,trauma
164,41.94392,-87.8251,1578,trauma
165,41.94892,-87.8251,1632,trauma
166,41.98392,-87.8251,1342,trauma
167,41.93892,-87.8201,1548,trauma
168,41.94392,-87.8201,1579,trauma
169,41.94892,-87.8201,1611,trauma
170,41.97892,-87.8201,1407,trauma
171,41.98392,-87.8201,1366,trauma
172,41.98892,-87.8201,1466,trauma
173,41.99392,-87.8201,1505,trauma
174,41.99892,-87.8201,1506,trauma
175,42.00392,-87.8201,1550,trauma
176,42.00892,-87.8201,1661,trauma
177,41.93892,-87.8151,1512,trauma
178,41.94392,-87.8151,1561,trauma
179,41.94892,-87.8151,1628,trauma
180,41.97892,-87.8151,1386,trauma
181,41.98392,-87.8151,1430,trauma
182,41.98892,-87.8151,1438,trauma
183,41.99392,-87.8151,1473,trauma
184,41.99892,-87.8151,1505,trauma
185,42.00392,-87.8151,1576,trauma
186,42.00892,-87.8151,1675,trauma
187,42.01392,-87.8151,1647,trauma
188,41.93892,-87.8101,1468,trauma
189,41.94392,-87.8101,1505,trauma
190,41.94892,-87.8101,1583,trauma
191,41.97892,-87.8101,1328,trauma
192,41.98392,-87.8101,1311,trauma
193,41.98892,-87.8101,1425,trauma
194,41.99392,-87.8101,1433,trauma
195,41.99892,-87.8101,1460,trauma
196,42.00392,-87.8101,1568,trauma
197,42.00892,-87.8101,1616,trauma
198,42.01392,-87.8101,1638,trauma
199,41.90892,-87.8051,996,trauma
200,41.91392,-87.8051,1070,trauma
201,41.91892,-87.8051,1163,trauma
202,41.92392,-87.8051,1179,trauma
203,41.92892,-87.8051,1292,trauma
204,41.93392,-87.8051,1357,trauma
205,41.93892,-87.8051,1434,trauma
206,41.94392,-87.8051,1504,trauma
207,41.94892,-87.8051,1536,trauma
208,41.95392,-87.8051,1471,trauma
209,41.96892,-87.8051,1388,trauma
210,41.97392,-87.8051,1383,trauma
211,41.97892,-87.8051,1269,trauma
212,41.98392,-87.8051,1322,trauma
213,41.98892,-87.8051,1401,trauma
214,41.99392,-87.8051,1420,trauma
215,41.99892,-87.8051,1475,trauma
216,41.77392,-87.8001,1080,trauma
217,41.77892,-87.8001,1033,trauma
218,41.78392,-87.8001,955,trauma
219,41.78892,-87.8001,932,trauma
220,41.79392,-87.8001,870,trauma
221,41.91392,-87.8001,1119,trauma
222,41.91892,-87.8001,1193,trauma
223,41.92392,-87.8001,1254,trauma
224,41.92892,-87.8001,1324,trauma
225,41.93392,-87.8001,1399,trauma
226,41.93892,-87.8001,1451,trauma
227,41.94392,-87.8001,1519,trauma
228,41.94892,-87.8001,1506,trauma
229,41.95392,-87.8001,1494,trauma
230,41.96892,-87.8001,1414,trauma
231,41.97392,-87.8001,1329,trauma
232,41.97892,-87.8001,1301,trauma
233,41.98392,-87.8001,1298,trauma
234,41.98892,-87.8001,1395,trauma
235,41.99392,-87.8001,1391,trauma
236,41.99892,-87.8001,1519,trauma
237,41.77392,-87.7951,1115,trauma
238,41.77892,-87.7951,1138,trauma
239,41.78392,-87.7951,1020,trauma
240,41.78892,-87.7951,980,trauma
241,41.79392,-87.7951,928,trauma
242,41.79892,-87.7951,971,trauma
243,41.91392,-87.7951,1105,trauma
244,41.91892,-87.7951,1166,trauma
245,41.92392,-87.7951,1195,trauma
246,41.92892,-87.7951,1289,trauma
247,41.93392,-87.7951,1360,trauma
248,41.93892,-87.7951,1431,trauma
249,41.94392,-87.7951,1492,trauma
250,41.94892,-87.7951,1473,trauma
251,41.95392,-87.7951,1594,trauma
252,41.95892,-87.7951,1406,trauma
253,41.96892,-87.7951,1353,trauma
254,41.97392,-87.7951,1294,trauma
255,41.97892,-87.7951,1288,trauma
256,41.98392,-87.7951,1301,trauma
257,41.98892,-87.7951,1277,trauma
258,41.99392,-87.7951,1409,trauma
259,41.99892,-87.7951,1470,trauma
260,41.77392,-87.7901,1145,trauma
261,41.77892,-87.7901,1140,trauma
262,41.78392,-87.7901,1087,trauma
263,41.78892,-87.7901,1047,trauma
264,41.79392,-87.7901,991,trauma
265,41.79892,-87.7901,1021,trauma
266,41.91392,-87.7901,1109,trauma
267,41.91892,-87.7901,1112,trauma
268,41.92392,-87.7901,1265,trauma
269,41.92892,-87.7901,1238,trauma
270,41.93392,-87.7901,1324,trauma
271,41.93892,-87.7901,1408,trauma
272,41.94392,-87.7901,1445,trauma
273,41.94892,-87.7901,1353,trauma
274,41.95392,-87.7901,1422,trauma
275,41.95892,-87.7901,1398,trauma
276,41.96892,-87.7901,1325,trauma
277,41.97392,-87.7901,1241,trauma
278,41.97892,-87.7901,1265,trauma
279,41.98392,-87.7901,1283,trauma
280,41.98892,-87.7901,1323,trauma
281,41.99392,-87.7901,1390,trauma
282,41.99892,-87.7901,1435,trauma
283,41.77892,-87.7851,1172,trauma
284,41.78392,-87.7851,1140,trauma
285,41.78892,-87.7851,1084,trauma
286,41.79392,-87.7851,1030,trauma
287,41.79892,-87.7851,1045,trauma
288,41.91392,-87.7851,1012,trauma
289,41.91892,-87.7851,1072,trauma
290,41.92392,-87.7851,1127,trauma
291,41.92892,-87.7851,1229,trauma
292,41.93392,-87.7851,1311,trauma
293,41.93892,-87.7851,1358,trauma
294,41.94392,-87.7851,1404,trauma
295,41.94892,-87.7851,1364,trauma
296,41.95392,-87.7851,1311,trauma
297,41.95892,-87.7851,1336,trauma
298,41.96392,-87.7851,1325,trauma
299,41.96892,-87.7851,1291,trauma
300,41.97392,-87.7851,1240,trauma
301,41.97892,-87.7851,1232,trauma
302,41.98392,-87.7851,1258,trauma
