latitude,longitude,weight,grouping,type
41.71892,-87.5401,3,16,trauma
41.72392,-87.5401,3,16,trauma
41.71892,-87.5351,3,16,trauma
41.72392,-87.5351,3,16,trauma
41.72892,-87.5351,3,16,trauma
41.72892,-87.5401,3,16,trauma
41.73392,-87.5351,3,16,trauma
41.73392,-87.5401,3,16,trauma
41.73892,-87.5351,3,16,trauma
41.73892,-87.5401,3,16,trauma
41.74392,-87.5351,3,16,trauma
41.74392,-87.5401,3,16,trauma
41.74892,-87.5351,3,16,trauma
41.74892,-87.5401,3,16,trauma
41.75392,-87.5351,3,16,trauma
41.75392,-87.5401,3,16,trauma
41.64892,-87.5301,3,16,trauma
41.64892,-87.5351,3,16,trauma
41.65392,-87.5301,3,16,trauma
41.65392,-87.5351,3,16,trauma
41.65892,-87.5301,3,16,trauma
41.65892,-87.5351,3,16,trauma
41.66392,-87.5301,3,16,trauma
41.66392,-87.5351,3,16,trauma
41.66892,-87.5301,3,16,trauma
41.66892,-87.5351,3,16,trauma
41.67392,-87.5301,3,16,trauma
41.67392,-87.5351,3,16,trauma
41.67892,-87.5301,3,16,trauma
41.67892,-87.5351,3,16,trauma
41.68392,-87.5301,3,16,trauma
41.68392,-87.5351,3,16,trauma
41.68892,-87.5301,3,16,trauma
41.68892,-87.5351,3,16,trauma
41.69392,-87.5301,3,16,trauma
41.69392,-87.5351,3,16,trauma
41.69892,-87.5301,3,16,trauma
41.69892,-87.5351,3,16,trauma
41.70392,-87.5301,3,16,trauma
41.70392,-87.5351,3,16,trauma
41.70892,-87.5301,3,16,trauma
41.70892,-87.5351,3,16,trauma
41.71392,-87.5301,3,16,trauma
41.71392,-87.5351,3,16,trauma
41.71892,-87.5301,3,16,trauma
41.72392,-87.5301,3,16,trauma
41.72892,-87.5301,3,16,trauma
41.73392,-87.5301,3,16,trauma
41.73892,-87.5301,3,16,trauma
41.74392,-87.5301,3,16,trauma
41.74892,-87.5301,3,16,trauma
41.75392,-87.5301,3,16,trauma
41.75892,-87.5301,3,16,trauma
41.64892,-87.5251,3,16,trauma
41.65392,-87.5251,3,16,trauma
41.65892,-87.5251,3,16,trauma
41.66392,-87.5251,3,16,trauma
41.66892,-87.5251,3,16,trauma
41.67392,-87.5251,3,16,trauma
41.67892,-87.5251,3,16,trauma
41.68392,-87.5251,3,16,trauma
41.68892,-87.5251,3,16,trauma
41.69392,-87.5251,3,16,trauma
41.69892,-87.5251,3,16,trauma
