name,latitude,longitude,weight,type
1,41.96892,-87.9351,1904,potential
2,41.97392,-87.9351,1940,potential
3,41.97892,-87.9351,1978,potential
4,41.98392,-87.9351,2007,potential
5,41.98892,-87.9351,2022,potential
6,41.99392,-87.9351,2189,potential
7,41.99892,-87.9351,1988,potential
8,42.00392,-87.9351,1978,potential
9,41.96392,-87.9301,2077,potential
10,41.96892,-87.9301,1902,potential
11,41.97392,-87.9301,1940,potential
12,41.97892,-87.9301,1978,potential
13,41.98392,-87.9301,2298,potential
14,41.98892,-87.9301,2269,potential
15,41.99392,-87.9301,2162,potential
16,41.99892,-87.9301,1984,potential
17,42.00392,-87.9301,1929,potential
18,41.95892,-87.9251,1962,potential
19,41.96392,-87.9251,2077,potential
20,41.96892,-87.9251,2077,potential
21,41.97392,-87.9251,2077,potential
22,41.97892,-87.9251,2291,potential
23,41.98392,-87.9251,2291,potential
24,41.98892,-87.9251,2251,potential
25,41.99392,-87.9251,2249,potential
26,41.99892,-87.9251,2029,potential
27,42.00392,-87.9251,1971,potential
28,41.95892,-87.9201,2018,potential
29,41.96392,-87.9201,2059,potential
30,41.96892,-87.9201,2107,potential
31,41.97392,-87.9201,2108,potential
32,41.97892,-87.9201,2280,potential
33,41.98392,-87.9201,2280,potential
34,41.98892,-87.9201,2280,potential
35,41.99392,-87.9201,2302,potential
36,41.99892,-87.9201,2071,potential
37,42.00392,-87.9201,2008,potential
38,41.95892,-87.9151,2057,potential
39,41.96392,-87.9151,2117,potential
40,41.96892,-87.9151,2117,potential
41,41.97392,-87.9151,1781,potential
42,41.97892,-87.9151,1785,potential
43,41.98392,-87.9151,2259,potential
44,41.98892,-87.9151,2238,potential
45,41.99392,-87.9151,2201,potential
46,41.99892,-87.9151,2112,potential
47,42.00392,-87.9151,2050,potential
48,41.95392,-87.9101,1916,potential
49,41.95892,-87.9101,2095,potential
50,41.96392,-87.9101,2154,potential
51,41.96892,-87.9101,2154,potential
52,41.97392,-87.9101,1779,potential
53,41.97892,-87.9101,1790,potential
54,41.98392,-87.9101,1790,potential
55,41.98892,-87.9101,2210,potential
56,41.99392,-87.9101,2173,potential
57,41.99892,-87.9101,2137,potential
58,42.00392,-87.9101,2086,potential
59,41.95392,-87.9051,1969,potential
60,41.95892,-87.9051,2151,potential
61,41.96392,-87.9051,2163,potential
62,41.96892,-87.9051,2163,potential
63,41.97392,-87.9051,1757,potential
64,41.97892,-87.9051,1778,potential
65,41.98392,-87.9051,1801,potential
66,41.98892,-87.9051,2203,potential
67,41.99392,-87.9051,2170,potential
68,41.99892,-87.9051,2123,potential
69,42.00392,-87.9051,2123,potential
70,41.95392,-87.9001,1990,potential
71,41.95892,-87.9001,2057,potential
72,41.96392,-87.9001,2096,potential
73,41.96892,-87.9001,1752,potential
74,41.97392,-87.9001,1746,potential
75,41.97892,-87.9001,1753,potential
76,41.98392,-87.9001,1832,potential
77,41.98892,-87.9001,2330,potential
78,41.99392,-87.9001,2330,potential
79,41.99892,-87.9001,2227,potential
80,42.00392,-87.9001,2161,potential
81,41.95392,-87.8951,1897,potential
