"grouping";"min";"new_geom"
1;3;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.91373,41.95513 -87.91367,41.95535 -87.91407,41.95524 -87.9251,41.95892 -87.9351,41.96892 -87.9351,42.00392 -87.8951,42.00392 -87.88637,41.9981 -87.88653,41.99749 -87.88576,41.99769 -87.8801,41.99392 -87.87666,41.98703 -87.87668,41.98694 -87.8772,41.98642 -87.87668,41.9859 -87.87615,41.98392 -87.87653,41.98249 -87.8751,41.98287 -87.87449,41.98271 -87.8701,41.97392 -87.87367,41.97035 -87.8751,41.96997 -87.87708,41.9705 -87.8776,41.97102 -87.87812,41.9705 -87.8801,41.96997 -87.88153,41.97035 -87.88115,41.96892 -87.88168,41.96694 -87.8822,41.96642 -87.88168,41.9659 -87.88115,41.96392 -87.88153,41.96249 -87.8851,41.95892 -87.8951,41.95392 -87.9101,41.95392 -87.91373,41.95513</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3;3;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.85323,41.94518 -87.85316,41.94545 -87.85336,41.94545 -87.8551,41.94892 -87.85576,41.95221 -87.8551,41.95239 -87.8501,41.95239 -87.84836,41.95193 -87.8476,41.95116 -87.84734,41.95142 -87.84811,41.95218 -87.84857,41.95392 -87.84857,41.95545 -87.8501,41.95545 -87.85184,41.95591 -87.8526,41.95668 -87.85336,41.95591 -87.8551,41.95545 -87.85648,41.95582 -87.8583,41.96493 -87.85811,41.96566 -87.85684,41.96693 -87.8551,41.96739 -87.85336,41.96693 -87.8526,41.96616 -87.85234,41.96642 -87.85311,41.96718 -87.85357,41.96892 -87.85357,41.97045 -87.8551,41.97045 -87.85941,41.97045 -87.8601,41.97392 -87.85836,41.97739 -87.85816,41.97739 -87.85823,41.97766 -87.8551,41.98392 -87.8401,41.98392 -87.83693,41.97283 -87.83857,41.97239 -87.83905,41.97058 -87.83663,41.96993 -87.83589,41.9692 -87.83133,41.95321 -87.83163,41.95291 -87.83163,41.95239 -87.83109,41.95239 -87.8301,41.94892 -87.8301,41.93892 -87.8501,41.93892 -87.85323,41.94518</coordinates></LinearRing></outerBoundaryIs></Polygon>"
6;3;"<LineString><coordinates>-87.6551,41.85392 -87.6551,41.85892</coordinates></LineString>"
11;3;"<LineString><coordinates>-87.6351,41.89392 -87.6301,41.89892</coordinates></LineString>"
13;3;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.5651,41.67392 -87.5651,41.7528 -87.5651,41.76892 -87.56417,41.75305 -87.56057,41.69197 -87.5601,41.68392 -87.5601,41.67053 -87.5601,41.64892 -87.5651,41.67392</coordinates></LinearRing></outerBoundaryIs></Polygon>"
14;3;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.74143,41.75828 -87.76545,41.77749 -87.78984,41.77262 -87.7901,41.77259 -87.79914,41.77259 -87.8001,41.77392 -87.80143,41.78171 -87.80143,41.79392 -87.80104,41.79486 -87.79625,41.79965 -87.77162,41.86863 -87.8061,41.90804 -87.80621,41.90818 -87.82621,41.93818 -87.82643,41.93892 -87.82643,41.9487 -87.83363,41.9703 -87.8351,41.97892 -87.8351,41.98392 -87.83228,41.98862 -87.82104,41.99986 -87.8201,42.00025 -87.81966,42.00007 -87.82129,42.00333 -87.82143,42.00392 -87.82143,42.0067 -87.8201,42.00892 -87.8151,42.01392 -87.80874,42.01421 -87.78499,42.01025 -87.7801,42.01025 -87.77968,42.01018 -87.76468,42.00518 -87.76461,42.00515 -87.74028,41.99542 -87.70754,42.01881 -87.7051,42.01892 -87.6651,42.01892 -87.6615,42.01231 -87.65885,42.00438 -87.64892,41.97954 -87.63939,41.96525 -87.63583,41.96525 -87.6351,41.96392 -87.63377,41.96089 -87.63377,41.94408 -87.62885,41.92438 -87.62391,41.91451 -87.62377,41.91392 -87.62377,41.90892 -87.62391,41.90833 -87.63269,41.89076 -87.61036,41.89522 -87.6101,41.89525 -87.6051,41.89525 -87.60492,41.89518 -87.60377,41.89256 -87.60377,41.85423 -87.59395,41.83459 -87.58399,41.81966 -87.5838,41.81918 -87.57885,41.79444 -87.55925,41.76504 -87.54582,41.76056 -87.5451,41.75892 -87.54377,41.74695 -87.54377,41.73905 -87.5418,41.72918 -87.5401,41.71392 -87.5401,41.64892 -87.6151,41.64892 -87.62224,41.651 -87.63569,41.65773 -87.63578,41.65778 -87.66061,41.67268 -87.68037,41.67762 -87.71021,41.68259 -87.73054,41.68259 -87.7351,41.68392 -87.73595,41.68509 -87.72167,41.70888 -87.74121,41.73818 -87.74143,41.73892 -87.74143,41.75828</coordinates></LinearRing></outerBoundaryIs></Polygon>"
16;3;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.53884,41.7013 -87.53872,41.70142 -87.53886,41.70156 -87.53914,41.70555 -87.53898,41.70616 -87.53872,41.70642 -87.53898,41.70668 -87.53931,41.70792 -87.53943,41.7095 -87.53898,41.71116 -87.53872,41.71142 -87.53898,41.71168 -87.53958,41.71392 -87.53939,41.71463 -87.53979,41.71452 -87.5401,41.71892 -87.5401,41.75392 -87.5301,41.75892 -87.5251,41.75892 -87.5251,41.64892 -87.5351,41.64892 -87.53884,41.7013</coordinates></LinearRing></outerBoundaryIs></Polygon>"
1;6;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.91373,41.95513 -87.91367,41.95535 -87.91407,41.95524 -87.9251,41.95892 -87.9351,41.96892 -87.9351,42.00392 -87.8951,42.00392 -87.88637,41.9981 -87.88653,41.99749 -87.88576,41.99769 -87.8801,41.99392 -87.87666,41.98703 -87.87668,41.98694 -87.8772,41.98642 -87.87668,41.9859 -87.87615,41.98392 -87.87653,41.98249 -87.8751,41.98287 -87.87449,41.98271 -87.8701,41.97392 -87.87367,41.97035 -87.8751,41.96997 -87.87708,41.9705 -87.8776,41.97102 -87.87812,41.9705 -87.8801,41.96997 -87.88153,41.97035 -87.88115,41.96892 -87.88168,41.96694 -87.8822,41.96642 -87.88168,41.9659 -87.88115,41.96392 -87.88153,41.96249 -87.8851,41.95892 -87.8951,41.95392 -87.9101,41.95392 -87.91373,41.95513</coordinates></LinearRing></outerBoundaryIs></Polygon>"
3;6;"<Polygon><outerBoundaryIs><LinearRing><coordinates>-87.85323,41.94518 -87.85316,41.94545 -87.85336,41.94545 -87.8551,41.94892 -87.85576,41.95221 -87.8551,41.95239 -87.8501,41.95239 -87.84836,41.95193 -87.8476,41.95116 -87.84734,41.95142 -87.84811,41.95218 -87.84857,41.95392 -87.84857,41.95545 -87.8501,41.95545 -87.85184,41.95591 -87.8526,41.95668 -87.85336,41.95591 -87.8551,41.95545 -87.85648,41.95582 -87.8583,41.96493 -87.85811,41.96566 -87.85684,41.96693 -87.8551,41.96739 -87.85336,41.96693 -87.8526,41.96616 -87.85234,41.96642 -87.85311,41.96718 -87.85357,41.96892 -87.85357,41.97045 -87.8551,41.97045 -87.85941,41.97045 -87.8601,41.97392 -87.85836,41.97739 -87.85816,41.97739 -87.85823,41.97766 -87.8551,41.98392 -87.8401,41.98392 -87.83693,41.97283 -87.83857,41.97239 -87.83905,41.97058 -87.83663,41.96993 -87.83589,41.9692 -87.83133,41.95321 -87.83163,41.95291 -87.83163,41.95239 -87.83109,41.95239 -87.8301,41.94892 -87.8301,41.93892 -87.8501,41.93892 -87.85323,41.94518</coordinates></LinearRing></outerBoundaryIs></Polygon>"
6;6;"<LineString><coordinates>-87.6451,41.88892 -87.6451,41.89392</coordinates></LineString>"
