"weight";"grouping";"st_astext"
3;11;"POINT(41.92892 -87.6351)"
3;14;"POLYGON((41.86892 -87.7351,41.84892 -87.7251,41.71392 -87.6451,41.70392 -87.6251,41.70392 -87.6201,41.72892 -87.5851,41.73392 -87.5801,41.74892 -87.5801,41.89392 -87.6051,41.93892 -87.6351,41.95392 -87.6451,41.95892 -87.6551,41.93892 -87.6751,41.87392 -87.7351,41.86892 -87.7351))"
6;6;"POLYGON((41.85392 -87.6551,41.79392 -87.6401,41.79892 -87.6401,41.85892 -87.6551,41.85392 -87.6551))"
6;11;"POINT(41.68392 -87.6251)"
6;14;"POLYGON((41.86892 -87.7701,41.65892 -87.6451,41.66892 -87.6001,41.73892 -87.5501,41.96392 -87.6401,41.99392 -87.6551,41.87892 -87.7651,41.86892 -87.7701))"
9;11;"POLYGON((41.69892 -87.6001,41.69892 -87.5901,41.70392 -87.5401,41.71892 -87.5301,41.72392 -87.5301,41.74392 -87.5351,41.74392 -87.5451,41.69892 -87.6001))"
9;12;"POLYGON((41.70892 -87.5401,41.71892 -87.5301,41.72392 -87.5301,41.74392 -87.5401,41.70892 -87.5401))"
9;13;"POLYGON((41.89392 -87.7751,41.87392 -87.7701,41.81392 -87.7501,41.65892 -87.6401,41.64892 -87.5951,41.65892 -87.5651,41.71892 -87.5251,41.96392 -87.6351,41.98892 -87.6551,41.99392 -87.6601,41.96892 -87.6901,41.89392 -87.7751))"
9;14;"POLYGON((41.89392 -87.7751,41.87392 -87.7701,41.81392 -87.7501,41.65892 -87.6401,41.64892 -87.5951,41.65892 -87.5651,41.71892 -87.5251,41.74392 -87.5351,41.96392 -87.6351,41.98892 -87.6551,41.99392 -87.6601,41.96892 -87.6901,41.89392 -87.7751))"
9;16;"POLYGON((41.71892 -87.5301,41.71892 -87.5251,41.72392 -87.5301,41.71892 -87.5301))"
12;6;"POLYGON((41.64892 -87.5701,41.66892 -87.5501,41.71392 -87.5251,41.74892 -87.5251,41.74892 -87.5351,41.65392 -87.5701,41.64892 -87.5701))"
12;8;"POLYGON((41.79392 -87.8001,41.65892 -87.6351,41.64892 -87.6151,41.64892 -87.5651,41.65392 -87.5601,41.68392 -87.5401,41.70892 -87.5251,41.74892 -87.5301,42.00392 -87.6601,41.99892 -87.6751,41.95892 -87.7401,41.90392 -87.7751,41.79392 -87.8001))"
12;11;"POLYGON((41.69392 -87.5601,41.68392 -87.5401,41.70892 -87.5301,41.74892 -87.5301,41.74892 -87.5351,41.73892 -87.5451,41.71392 -87.5601,41.69392 -87.5601))"
12;12;"POLYGON((41.71892 -87.5401,41.70892 -87.5301,41.73892 -87.5251,41.74892 -87.5251,41.74892 -87.5301,41.73892 -87.5401,41.71892 -87.5401))"
12;13;"POLYGON((41.79392 -87.8001,41.65892 -87.6351,41.64892 -87.6151,41.64892 -87.5651,41.65392 -87.5601,41.66892 -87.5501,41.70892 -87.5251,41.74892 -87.5251,42.00392 -87.6601,41.99892 -87.6751,41.95892 -87.7401,41.90392 -87.7751,41.79392 -87.8001))"
12;14;"POLYGON((41.79392 -87.8001,41.65892 -87.6351,41.64892 -87.6151,41.64892 -87.5651,41.65392 -87.5601,41.68392 -87.5401,41.70892 -87.5251,41.73392 -87.5251,42.00392 -87.6601,41.99892 -87.6751,41.95892 -87.7401,41.90392 -87.7751,41.79392 -87.8001))"
12;16;"POLYGON((41.70892 -87.5301,41.70892 -87.5251,41.74892 -87.5251,41.74892 -87.5301,41.70892 -87.5301))"
15;6;"POLYGON((41.90892 -87.8051,41.77892 -87.8001,41.64892 -87.5601,41.64892 -87.5351,41.67892 -87.5251,41.70392 -87.5251,41.75392 -87.5301,42.01892 -87.6651,42.01892 -87.6701,41.98392 -87.7501,41.91392 -87.8051,41.90892 -87.8051))"
15;8;"POLYGON((41.90892 -87.8051,41.77892 -87.8001,41.64892 -87.5601,41.64892 -87.5451,41.65392 -87.5401,41.67892 -87.5251,41.70392 -87.5251,41.75392 -87.5301,42.01892 -87.6651,42.01892 -87.6701,41.98392 -87.7501,41.91392 -87.8051,41.90892 -87.8051))"
15;11;"POLYGON((41.75392 -87.5451,41.65392 -87.5401,41.67892 -87.5251,41.75392 -87.5301,41.75892 -87.5451,41.75392 -87.5451))"
15;12;"POLYGON((41.73392 -87.5401,41.64892 -87.5351,41.68392 -87.5301,41.75392 -87.5301,41.73392 -87.5401))"
15;13;"POLYGON((41.90892 -87.8051,41.77892 -87.8001,41.64892 -87.5601,41.64892 -87.5351,41.68392 -87.5251,41.70392 -87.5251,42.00892 -87.6601,42.01892 -87.6651,42.01892 -87.6701,41.98392 -87.7501,41.91392 -87.8051,41.90892 -87.8051))"
15;14;"POLYGON((41.90892 -87.8051,41.77892 -87.8001,41.64892 -87.5601,41.64892 -87.5351,41.67892 -87.5251,41.70392 -87.5251,41.75892 -87.5451,42.00892 -87.6601,42.01892 -87.6651,42.01892 -87.6701,41.98392 -87.7501,41.91392 -87.8051,41.90892 -87.8051))"
15;16;"POLYGON((41.68392 -87.5301,41.67892 -87.5251,41.70392 -87.5251,41.75392 -87.5301,41.68392 -87.5301))"
18;6;"POLYGON((41.91892 -87.8051,41.77392 -87.8001,41.64892 -87.5401,41.64892 -87.5251,41.67392 -87.5251,41.75892 -87.5301,42.01892 -87.6751,42.01892 -87.6901,41.99392 -87.7651,41.98392 -87.7851,41.97392 -87.7901,41.92392 -87.8051,41.91892 -87.8051))"
18;8;"POLYGON((41.91892 -87.8051,41.77392 -87.8001,41.64892 -87.5401,41.64892 -87.5251,41.67392 -87.5251,41.75892 -87.5301,42.01892 -87.6751,42.01892 -87.6901,41.99392 -87.7651,41.98392 -87.7851,41.97392 -87.7901,41.92392 -87.8051,41.91892 -87.8051))"
18;11;"POLYGON((41.73892 -87.5601,41.64892 -87.5401,41.64892 -87.5251,41.67392 -87.5251,41.75892 -87.5301,41.74392 -87.5601,41.73892 -87.5601))"
18;12;"POLYGON((41.74892 -87.5401,41.65392 -87.5351,41.64892 -87.5251,41.66892 -87.5251,41.75892 -87.5301,41.75392 -87.5401,41.74892 -87.5401))"
18;13;"POLYGON((41.91892 -87.8051,41.77392 -87.8001,41.65392 -87.5351,41.75392 -87.5351,42.01892 -87.6751,42.01892 -87.6901,41.99392 -87.7651,41.98392 -87.7851,41.97392 -87.7901,41.92392 -87.8051,41.91892 -87.8051))"
